amount,claims,age,policy_years,fraud
20912,2,45,11,0
68892,9,37,18,1
71805,5,57,15,1
12521,3,56,12,0
89142,4,68,11,1
95204,2,32,19,0
21578,2,43,16,0
5661,0,55,19,0
31452,3,43,15,0
29066,8,36,3,0
64327,9,35,10,1
98307,9,62,12,1
72521,6,49,20,1
39554,2,19,18,0
52351,4,42,15,1
69231,8,32,3,1
29045,4,48,9,0
97427,8,36,13,1
94405,10,18,8,1
50514,2,61,1,0
54102,6,39,5,1
50316,1,20,19,0
71255,6,23,20,1
27174,8,66,2,0
54225,9,59,16,1
41411,5,47,16,0
45622,3,60,4,0
36382,0,58,8,0
24629,9,68,14,0
55295,6,56,8,1
72989,4,61,10,1
49027,7,67,3,0
73746,10,42,18,1
84790,6,44,9,1
72907,1,37,17,0
80103,6,29,11,1
12118,3,18,10,0
2707,4,23,7,0
84447,1,54,18,0
42215,5,18,10,0
19904,8,40,12,0
19444,5,41,8,0
42403,3,67,8,0
2422,1,27,3,0
39175,3,34,19,0
94698,0,20,12,0
8528,4,49,5,0
34071,3,18,15,0
88507,6,20,10,1
19006,8,36,6,0
9247,0,31,2,0
88086,3,23,12,0
61185,0,62,19,0
25438,5,27,9,0
93775,9,53,7,1
99083,3,51,12,0
55037,6,40,5,1
44596,6,40,16,0
97713,4,61,8,1
28749,10,56,9,0
55306,1,34,11,0
55814,0,40,14,0
33552,3,44,20,0
59416,1,61,20,0
73409,7,32,11,1
3706,1,32,9,0
28433,7,57,1,0
64502,7,51,10,1
13941,4,57,11,0
9077,0,50,13,0
49460,9,55,3,0
32857,1,25,2,0
90901,7,45,14,1
56493,2,33,15,0
90417,3,23,8,0
28209,10,25,3,0
65924,3,34,13,0
47729,7,65,6,0
84062,7,46,19,1
21205,2,52,3,0
6589,3,45,15,0
44697,8,64,14,0
73388,5,22,9,1
70273,2,64,3,0
28264,7,70,5,0
14266,7,23,4,0
25607,2,40,5,0
98883,0,56,1,0
85215,4,27,11,1
44049,0,25,4,0
85165,7,27,7,1
61407,2,69,4,0
5834,2,39,20,0
20409,3,20,1,0
23841,9,54,18,0
40793,2,46,12,0
57799,1,30,3,0
59147,4,53,19,1
55798,2,40,4,0
93146,6,61,12,1
91123,10,31,2,1
30524,7,22,2,0
27603,9,68,13,0
41098,7,40,20,0
98938,6,40,19,1
47286,2,57,7,0
38433,4,70,9,0
52349,8,42,14,1
97808,3,22,14,0
27948,5,49,13,0
65398,10,43,14,1
12938,10,30,13,0
48784,0,59,7,0
69652,10,68,13,1
64490,0,51,15,0
7151,0,66,11,0
64820,0,29,5,0
75596,1,44,12,0
55137,9,29,4,1
78839,3,52,16,0
18490,9,19,2,0
62891,5,40,5,1
87978,9,51,14,1
2522,2,41,15,0
28716,8,45,15,0
22952,6,52,7,0
77902,7,68,9,1
84829,10,48,20,1
36780,0,49,6,0
44614,0,66,7,0
85819,6,45,6,1
95516,4,60,6,1
55181,2,38,20,0
93478,2,44,11,0
17520,0,26,20,0
82438,0,28,13,0
43103,10,57,8,0
29416,9,62,1,0
23698,1,58,20,0
7403,6,57,4,0
36306,9,69,1,0
30964,1,50,6,0
32212,7,55,12,0
78006,5,22,1,1
93210,10,25,10,1
68990,10,52,9,1
21199,3,62,15,0
61869,3,65,16,0
55329,1,62,10,0
30622,9,56,4,0
88991,3,49,2,0
97485,0,64,20,0
95931,6,22,2,1
40114,2,27,18,0
82219,3,21,18,0
32023,10,32,16,0
19465,0,51,17,0
68013,9,70,10,1
25047,1,43,13,0
75882,7,68,10,1
28715,4,22,1,0
6415,2,38,20,0
18595,10,68,12,0
72074,8,44,2,1
96260,5,62,14,1
33739,4,65,2,0
41002,8,32,18,0
28493,8,18,16,0
89973,3,64,14,0
77936,9,26,20,1
77614,10,40,17,1
16523,8,32,11,0
78363,5,66,1,1
80749,9,35,8,1
43426,3,29,9,0
96723,2,49,19,0
23479,4,22,9,0
77854,2,31,15,0
86168,1,28,20,0
84780,4,55,4,1
11092,7,66,18,0
60938,7,68,10,1
43679,8,64,3,0
79546,8,58,10,1
85787,7,69,10,1
1213,10,59,6,0
65350,0,18,14,0
39336,10,43,6,0
41107,6,45,4,0
28941,7,30,6,0
69878,9,23,1,1
40240,3,38,10,0
81410,5,54,8,1
59350,1,35,8,0
6086,7,32,3,0
77216,0,46,8,0
3811,8,50,7,0
88958,8,27,14,1
25200,2,52,19,0
93201,9,26,12,1
6556,2,64,16,0
25224,1,20,3,0
44651,6,28,5,0
51459,0,34,3,0
92903,7,26,8,1
57985,7,35,3,1
43357,10,40,2,0
39977,8,53,11,0
81502,6,38,13,1
4365,8,67,8,0
82149,6,48,20,1
73858,0,37,18,0
39334,4,57,8,0
30095,8,47,5,0
27554,8,35,17,0
60975,0,55,6,0
2844,1,51,13,0
77567,6,42,19,1
55659,0,24,1,0
15167,10,64,12,0
58355,7,40,16,1
11833,10,64,13,0
37291,6,25,5,0
32377,8,33,6,0
63633,9,20,1,1
59518,1,57,4,0
96756,7,45,18,1
10646,0,68,4,0
59140,9,37,18,1
24497,8,36,1,0
59739,8,55,19,1
72248,7,54,2,1
48038,10,23,2,0
17055,9,57,5,0
29293,5,29,16,0
33530,2,29,12,0
26369,8,69,9,0
76316,9,51,16,1
77831,0,18,19,0
98502,0,44,17,0
59342,4,65,4,1
32419,3,45,6,0
60841,0,38,4,0
22103,2,18,7,0
61718,1,56,14,0
67737,9,33,14,1
96626,6,38,14,1
71661,1,32,17,0
38656,6,34,11,0
35932,10,68,9,0
31323,7,59,3,0
33618,2,28,16,0
58676,8,39,5,1
94302,5,70,5,1
56678,10,50,3,1
58715,7,67,16,1
28507,2,28,19,0
30153,5,27,7,0
17208,0,20,6,0
91333,9,21,17,1
15862,5,47,8,0
52119,4,29,15,1
16979,4,51,9,0
12023,10,18,15,0
31218,0,25,10,0
26275,3,41,6,0
41827,10,57,19,0
6161,2,29,6,0
67432,0,63,9,0
77699,9,46,4,1
24887,5,66,11,0
68004,7,32,7,1
46140,3,67,7,0
11645,5,36,9,0
33927,8,26,6,0
54723,2,68,4,0
93751,7,22,8,1
45730,8,24,10,0
82621,8,44,9,1
27509,2,25,3,0
86313,4,46,1,1
65819,7,43,18,1
63391,6,31,7,1
98636,7,67,17,1
27214,3,46,4,0
59242,10,41,5,1
5624,8,42,16,0
58525,0,38,6,0
99416,10,23,10,1
62419,5,56,3,1
72271,1,67,11,0
11389,7,28,1,0
33692,0,62,20,0
47240,8,30,9,0
10500,4,31,20,0
33126,5,57,19,0
7377,8,47,8,0
61012,7,51,6,1
9409,4,49,20,0
82639,3,57,13,0
9231,1,31,5,0
80315,5,54,13,1
7580,3,41,17,0
35062,6,19,18,0
56615,1,33,14,0
97000,0,26,2,0
90558,4,67,10,1
12857,2,29,3,0
50859,8,29,16,1
89395,7,52,11,1
97728,3,70,19,0
63904,6,61,3,1
9585,0,47,2,0
94991,1,56,15,0
83999,6,35,10,1
56426,8,59,7,1
42718,6,67,15,0
78498,6,27,17,1
30624,3,41,14,0
49539,10,25,11,0
66687,1,46,8,0
44073,6,25,9,0
26201,6,44,4,0
5944,2,56,13,0
18840,4,48,1,0
44430,3,34,14,0
64636,7,46,17,1
63130,6,65,9,1
53668,3,39,9,0
77362,1,60,18,0
6216,5,22,14,0
24691,10,54,9,0
48196,8,59,15,0
86676,6,22,17,1
82477,9,25,14,1
28592,1,47,4,0
68938,0,33,19,0
65435,10,18,8,1
15400,3,25,20,0
74432,10,26,6,1
73710,2,57,2,0
60778,9,45,12,1
91558,6,38,18,1
90556,0,20,8,0
47387,10,28,13,0
65960,10,36,18,1
62360,10,18,18,1
98819,0,20,19,0
67683,10,42,19,1
8642,9,55,8,0
46916,6,59,15,0
48013,4,56,18,0
41598,4,26,14,0
73402,1,23,15,0
26882,3,66,1,0
31245,7,20,16,0
54247,5,33,1,1
49339,8,28,11,0
63136,8,59,8,1
69825,10,26,18,1
55087,8,20,4,1
28535,5,34,15,0
47024,9,32,9,0
60690,3,53,17,0
72063,3,20,6,0
2847,9,29,17,0
32744,6,42,13,0
87021,8,29,20,1
60643,10,61,9,1
85954,0,65,7,0
15628,6,62,6,0
36349,8,40,12,0
86958,5,50,2,1
83520,4,62,19,1
75352,1,56,20,0
39800,2,19,18,0
45835,9,42,7,0
81479,9,38,14,1
68315,8,40,18,1
41347,5,31,7,0
85894,8,54,9,1
48236,4,53,17,0
75114,5,46,6,1
87386,0,40,9,0
41243,1,19,12,0
14875,7,62,11,0
1090,6,19,13,0
83628,9,67,10,1
15841,8,63,7,0
12565,3,58,19,0
99092,5,64,10,1
50752,3,51,3,0
12818,3,27,3,0
69771,7,54,4,1
93246,10,39,4,1
46041,5,68,19,0
47048,0,50,17,0
60053,7,36,19,1
80396,3,19,6,0
76505,1,20,14,0
33236,3,25,5,0
72142,0,37,20,0
38044,7,62,4,0
40329,7,54,7,0
31284,4,32,2,0
96016,0,21,16,0
98411,3,18,13,0
48310,5,50,4,0
36061,9,64,12,0
4799,4,28,10,0
51501,2,33,6,0
14043,4,62,8,0
61834,6,33,4,1
19864,9,19,8,0
96216,3,54,8,0
96748,5,69,19,1
66194,9,66,2,1
55564,5,64,18,1
67013,8,65,10,1
25598,9,50,4,0
68011,10,44,1,1
51511,4,37,9,1
10646,6,26,4,0
84340,3,25,17,0
17940,2,49,19,0
96104,7,42,18,1
80170,3,41,9,0
17753,10,66,10,0
82725,2,27,16,0
93789,5,26,19,1
70332,0,18,15,0
64573,6,43,1,1
64620,9,37,7,1
84520,6,65,14,1
4565,8,28,14,0
19504,5,53,2,0
2560,6,62,19,0
73972,1,24,10,0
96306,7,31,17,1
92254,0,26,8,0
10148,10,56,2,0
75690,2,23,14,0
96451,2,41,6,0
98122,4,30,18,1
55106,9,58,18,1
31512,3,44,15,0
99460,7,49,10,1
98236,0,67,16,0
10329,8,60,2,0
73626,9,52,10,1
29235,1,45,6,0
91182,9,59,16,1
50085,7,41,10,1
97647,9,18,10,1
78320,9,43,19,1
23229,10,49,16,0
55803,0,40,4,0
41735,3,61,17,0
42726,0,67,11,0
60127,10,29,14,1
27225,7,36,1,0
50693,8,24,8,1
72526,10,55,9,1
80058,3,46,18,0
73101,8,37,9,1
78464,7,56,15,1
57441,3,55,12,0
64755,0,48,10,0
74520,3,19,13,0
77976,10,53,2,1
20388,7,19,14,0
31044,6,19,2,0
88477,8,18,3,1
95590,1,46,3,0
20579,6,66,17,0
44981,0,44,8,0
38847,6,60,18,0
48021,8,21,17,0
4309,1,56,1,0
38661,1,64,10,0
48539,8,20,3,0
12453,5,39,9,0
11060,6,60,20,0
98752,1,57,8,0
86743,4,22,2,1
49234,6,18,9,0
61191,7,62,5,1
51934,7,20,20,1
54373,2,56,19,0
47839,1,34,6,0
83832,2,18,17,0
91033,4,63,10,1
17892,8,65,8,0
54277,7,21,15,1
86577,0,20,18,0
47600,0,35,7,0
65549,6,50,11,1
97659,6,51,1,1
59506,8,33,19,1
71968,2,25,11,0
78492,8,62,3,1
45039,6,36,1,0
24605,4,37,12,0
28512,0,49,7,0
84910,0,67,13,0
32094,9,31,13,0
33544,10,55,4,0
56163,5,29,4,1
21053,2,42,9,0
78053,9,20,10,1
98885,10,18,10,1
33935,2,54,10,0
66814,3,61,8,0
63319,2,59,8,0
65901,8,59,7,1
24999,4,65,8,0
91503,3,53,15,0
16914,6,66,15,0
44894,8,42,2,0
22253,8,58,2,0
57370,6,20,14,1
20498,1,61,8,0
12739,10,27,16,0
45684,0,30,4,0
93242,9,66,2,1
76150,4,57,2,1
74823,8,25,8,1
16830,5,56,11,0
24014,4,36,11,0
10023,4,56,14,0
32383,0,35,20,0
68537,2,57,8,0
19992,4,36,20,0
83332,10,41,15,1
76136,0,61,7,0
89516,9,31,17,1
92552,7,25,17,1
33541,7,54,7,0
67845,7,69,15,1
85828,8,67,10,1
77697,6,25,1,1
42178,3,56,11,0
79520,3,39,8,0
25880,9,36,10,0
11297,3,51,4,0
67668,1,24,18,0
62910,10,46,3,1
49121,3,66,12,0
61763,6,55,15,1
14794,7,51,20,0
75605,0,53,6,0
61572,10,49,20,1
92005,9,49,9,1
15295,2,32,13,0
28986,7,52,5,0
90144,1,28,20,0
1286,3,46,5,0
84210,8,31,15,1
37051,7,29,15,0
55807,5,69,15,1
16699,6,65,1,0
15920,8,37,3,0
63585,9,37,10,1
63397,2,18,1,0
74791,4,54,19,1
23340,2,53,17,0
1614,5,70,18,0
21101,5,44,9,0
17306,9,27,11,0
76013,7,67,18,1
66250,6,30,13,1
24482,7,26,16,0
64660,10,31,19,1
13246,7,51,14,0
75930,3,30,11,0
74275,3,68,20,0
66143,6,43,13,1
55574,7,44,7,1
62612,3,66,6,0
23549,0,27,15,0
43822,7,61,1,0
60056,5,25,14,1
42165,6,20,10,0
62206,0,49,2,0
69021,2,32,1,0
93141,0,70,1,0
41883,8,61,6,0
59767,4,68,17,1
60042,4,48,8,1
27376,7,53,6,0
27205,10,41,4,0
34220,8,68,6,0
56106,8,42,18,1
44593,9,60,10,0
87185,4,52,2,1
20045,1,45,13,0
95861,2,60,7,0
38140,4,24,7,0
4305,10,65,16,0
42966,2,42,5,0
76614,2,38,13,0
16820,4,20,19,0
33484,2,34,17,0
39666,4,35,5,0
77076,10,56,8,1
93806,10,55,16,1
34249,7,34,7,0
25554,6,39,5,0
58257,2,69,14,0
17905,8,20,14,0
26690,9,46,5,0
73073,9,45,1,1
46711,5,46,17,0
42187,10,52,14,0
89466,7,24,9,1
67778,4,53,16,1
15198,10,43,14,0
28772,9,39,18,0
6188,5,27,8,0
94486,1,44,16,0
40561,5,42,3,0
22117,5,52,5,0
6618,2,25,18,0
85305,7,32,10,1
32690,2,29,2,0
55911,7,70,12,1
93181,5,43,1,1
82676,9,29,9,1
5853,10,22,14,0
19325,6,65,3,0
48466,1,49,20,0
30835,6,28,17,0
23332,5,31,16,0
60747,9,41,17,1
44509,3,41,4,0
95203,9,31,16,1
82062,1,60,15,0
48258,4,42,10,0
67278,7,23,14,1
32889,4,43,20,0
84396,0,30,15,0
47643,0,47,13,0
27617,3,43,19,0
83151,8,50,7,1
3634,3,70,2,0
63388,10,30,11,1
61928,3,69,3,0
79247,3,47,9,0
88687,3,43,7,0
19603,4,47,12,0
87507,6,48,13,1
30821,4,69,10,0
76385,3,54,9,0
61501,2,50,17,0
28890,8,20,5,0
19940,4,44,14,0
99533,4,39,5,1
49511,0,21,5,0
37383,10,64,11,0
13753,3,51,7,0
55044,5,28,6,1
68568,6,42,3,1
7552,1,18,6,0
62217,10,18,4,1
25254,6,48,19,0
94966,5,51,5,1
90905,0,49,15,0
36083,9,66,1,0
34554,1,42,19,0
70487,2,46,9,0
21652,3,68,18,0
13180,10,54,8,0
82563,4,44,15,1
47495,2,59,5,0
96702,7,24,9,1
2727,5,19,3,0
94597,7,53,17,1
